date,PRC,sprtrn
20080102,104.69000,-0.014438
20080103,104.90000,0.000000
20080104,101.13000,-0.024552
20080107,100.05000,0.003223
20080108,97.59000,-0.018352
20080109,98.31000,0.013624
20080110,99.92000,0.007948
20080111,97.67000,-0.013595
20080114,102.93000,0.010871
20080115,101.83000,-0.024925
20080116,101.63000,-0.005612
20080117,101.10000,-0.029093
20080118,103.40000,-0.006045
20080122,101.22000,-0.011085
20080123,106.10000,0.021442
20080124,106.91000,0.010063
20080125,104.52000,-0.015872
20080128,104.98000,0.017556
20080129,106.10000,0.006152
20080130,105.65000,-0.004764
20080131,107.11000,0.016772
20080201,109.08000,0.012238
20080204,107.93000,-0.010463
20080205,105.02000,-0.031995
20080206,103.59000,-0.007624
20080207,102.34000,0.007886
20080208,103.27000,-0.004204
20080211,105.14000,0.005889
20080212,106.53000,0.007266
20080213,108.42000,0.013604
20080214,106.13000,-0.013421
20080215,106.16000,0.000838
20080219,105.00000,-0.000896
20080220,107.85000,0.008341
20080221,106.93000,-0.012867
20080222,108.07000,0.007881
20080225,110.08000,0.013813
20080226,114.38000,0.006918
20080227,116.46000,-0.000919
20080228,115.24000,-0.008942
20080229,113.86000,-0.027090
20080303,114.23000,0.000534
20080304,115.71000,-0.003448
20080305,115.39000,0.005238
20080306,112.52000,-0.022014
20080307,113.94000,-0.008410
20080310,114.01000,-0.015463
20080311,116.49000,0.037130
20080312,117.07000,-0.008996
20080313,115.91000,0.005127
20080314,115.23010,-0.020783
20080317,115.55000,-0.008959
20080318,118.41000,0.042410
20080319,116.94000,-0.024287
20080320,118.33000,0.023944
20080324,119.06000,0.015321
20080325,117.97000,0.002304
20080326,116.91000,-0.008766
20080327,115.52000,-0.011460
20080328,114.57000,-0.007950
20080331,115.14000,0.005687
20080401,116.49000,0.035896
20080402,114.81000,-0.001934
20080403,116.02000,0.001302
20080404,115.76000,0.000796
20080407,116.31000,0.001562
20080408,116.27000,-0.005100
20080409,116.77000,-0.008092
20080410,118.78000,0.004474
20080411,116.00000,-0.020374
20080414,117.28000,-0.003384
20080415,117.17000,0.004600
20080416,120.47000,0.022691
20080417,123.08000,0.000623
20080418,124.40000,0.018139
20080421,124.35000,-0.001554
20080422,123.67000,-0.008810
20080423,123.60000,0.002900
20080424,124.19000,0.006442
20080425,123.08000,0.006495
20080428,121.69000,-0.001052
20080429,122.85000,-0.003889
20080430,120.70000,-0.003846
20080501,123.61000,0.017141
20080502,123.18000,0.003236
20080505,122.03000,-0.004534
20080506,122.82000,0.007652
20080507,124.14000,-0.018114
20080508,124.92000,0.003669
20080509,124.06000,-0.006725
20080512,125.24000,0.011021
20080513,126.58000,-0.000385
20080514,127.52000,0.004006
20080515,128.46001,0.010585
20080516,127.82000,0.001250
20080519,126.49000,0.000898
20080520,125.18000,-0.009274
20080521,123.62000,-0.016053
20080522,124.70000,0.002617
20080523,124.20000,-0.013210
20080527,127.32000,0.006846
20080528,129.53999,0.003963
20080529,129.71001,0.005335
20080530,129.42999,0.001516
20080602,127.36000,-0.010504
20080603,127.84000,-0.005788
20080604,127.55000,-0.000327
20080605,128.47000,0.019496
20080606,124.94000,-0.030889
20080609,125.86000,0.000794
20080610,125.94000,-0.002438
20080611,123.25000,-0.016894
20080612,123.85000,0.003280
20080613,126.15000,0.015046
20080616,126.71000,0.000081
20080617,125.10000,-0.006771
20080618,124.16000,-0.009712
20080619,125.02000,0.003752
20080620,122.74000,-0.018543
20080623,123.46000,0.000053
20080624,123.46000,-0.002815
20080625,124.58000,0.005843
20080626,121.13000,-0.029365
20080627,120.05000,-0.003717
20080630,118.53000,0.001267
20080701,119.27000,0.003836
20080702,119.10000,-0.018204
20080703,119.54000,0.001094
20080707,121.50000,-0.008385
20080708,123.88000,0.017080
20080709,120.40000,-0.022776
20080710,123.18000,0.006990
20080711,122.12000,-0.011090
20080714,121.54000,-0.009028
20080715,123.20000,-0.010901
20080716,125.94000,0.025064
20080717,126.52000,0.012013
20080718,129.89000,0.000286
20080721,128.66000,-0.000539
20080722,130.00000,0.013492
20080723,129.52000,0.004064
20080724,130.00000,-0.023125
20080725,128.53000,0.004168
20080728,126.25000,-0.018597
20080729,127.66000,0.023356
20080730,128.86000,0.016672
20080731,127.98000,-0.013144
20080801,126.64000,-0.005578
20080804,127.56000,-0.008966
20080805,128.87000,0.028719
20080806,129.16000,0.003354
20080807,129.05000,-0.017934
20080808,128.81000,0.023893
20080811,126.60000,0.006943
20080812,125.22000,-0.012051
20080813,125.80000,-0.002916
20080814,126.94000,0.005522
20080815,126.36000,0.004076
20080818,124.59000,-0.015098
20080819,122.56000,-0.009315
20080820,122.51000,0.006197
20080821,122.99000,0.002495
20080822,124.93000,0.011333
20080825,122.86000,-0.019625
20080826,122.50000,0.003686
20080827,123.38000,0.007983
20080828,124.58000,0.014840
20080829,121.73000,-0.013724
20080902,118.41000,-0.004093
20080903,118.34000,-0.002035
20080904,115.00000,-0.029922
20080905,114.33000,0.004431
20080908,117.29000,0.020510
20080909,115.04000,-0.034138
20080910,118.04000,0.006149
20080911,119.20000,0.013806
20080912,118.97000,0.002122
20080915,115.19000,-0.047136
20080916,116.05000,0.017515
20080917,111.47000,-0.047133
20080918,115.12000,0.043342
20080919,118.85000,0.040257
20080922,116.21000,-0.038237
20080923,115.36000,-0.015633
20080924,116.46000,-0.001978
20080925,120.11000,0.019656
20080926,119.42000,0.003167
20080929,114.46000,-0.087897
20080930,116.96000,0.054203
20081001,110.13000,-0.004544
20081002,104.74000,-0.040291
20081003,103.44000,-0.013506
20081006,100.62000,-0.038518
20081007,95.65000,-0.057395
20081008,90.55000,-0.011333
20081009,89.00000,-0.076167
20081010,87.75000,-0.011759
20081013,92.21000,0.115800
20081014,93.60000,-0.005322
