SYMBOL|DATE|TIME|n_trades|price|mid_point2|buyer_init
AMZN|20121102|9:44:56|1|235.77|235.7|1
AMZN|20121102|9:44:58|16|235.84533677|235.695|1
AMZN|20121102|9:44:59|4|235.90428571|235.695|1
AMZN|20121102|9:45:04|4|235.91653595|235.78|1
AMZN|20121102|9:45:09|4|235.8975|236.255|-1
AMZN|20121102|9:45:13|1|235.99|235.915|1
AMZN|20121102|9:45:14|3|235.91333333|235.925|-1
AMZN|20121102|9:45:17|1|235.89|235.945|-1
AMZN|20121102|9:45:18|5|235.99142857|236.095|-1
AMZN|20121102|9:45:21|1|235.91|235.99|-1
AMZN|20121102|9:45:28|2|235.97326667|236.185|-1
AMZN|20121102|9:45:31|18|235.90924888|235.99|-1
AMZN|20121102|9:45:32|1|235.94|235.99|-1
AMZN|20121102|9:45:34|1|235.93|235.98|-1
AMZN|20121102|9:45:38|1|236|235.27|1
AMZN|20121102|9:45:39|5|235.86166667|235.915|-1
AMZN|20121102|9:45:47|1|235.86|235.94|-1
AMZN|20121102|9:45:48|2|235.86|235.935|-1
AMZN|20121102|9:45:53|1|235.84|235.92|-1
AMZN|20121102|9:45:55|5|235.84809091|235.79|1
AMZN|20121102|9:45:57|3|235.78|235.735|1
AMZN|20121102|9:46:00|1|235.79|236.04|-1
AMZN|20121102|9:46:01|4|235.903|235.78|1
AMZN|20121102|9:46:05|1|235.894|235.855|1
AMZN|20121102|9:46:09|1|235.81|235.785|1
AMZN|20121102|9:46:13|1|235.87|235.84|1
AMZN|20121102|9:46:14|3|235.80333333|235.665|1
AMZN|20121102|9:46:16|1|235.79|235.89|-1
AMZN|20121102|9:46:17|2|235.82|235.875|-1
AMZN|20121102|9:46:18|4|235.79|235.825|-1
AMZN|20121102|9:46:19|1|235.802|235.825|-1
AMZN|20121102|9:46:22|1|235.8|235.835|-1
AMZN|20121102|9:46:23|5|235.79283333|235.835|-1
AMZN|20121102|9:46:25|3|235.81715|235.84|-1
AMZN|20121102|9:46:26|3|235.83|235.82|1
AMZN|20121102|9:46:28|17|235.87526316|235.82|1
AMZN|20121102|9:46:31|6|235.91738903|235.81|1
AMZN|20121102|9:46:34|1|235.98|236.045|-1
AMZN|20121102|9:46:42|3|235.9015|235.86|1
AMZN|20121102|9:46:45|1|235.9|235.69|1
AMZN|20121102|9:46:51|2|235.94|235.87|1
AMZN|20121102|9:47:00|5|235.91166667|235.98|-1
AMZN|20121102|9:47:01|2|235.894425|235.98|-1
AMZN|20121102|9:47:03|15|236.00753181|235.855|1
AMZN|20121102|9:47:04|1|235.99|235.84|1
AMZN|20121102|9:47:06|4|236.118|235.93|1
AMZN|20121102|9:47:09|5|235.995|236.24|-1
AMZN|20121102|9:47:11|5|236.10333333|236.1|1
AMZN|20121102|9:47:16|1|236.16|236.07|1
AMZN|20121102|9:47:20|1|236.16|238.315|-1
AMZN|20121102|9:47:24|1|236.17|238.315|-1
AMZN|20121102|9:47:30|1|236.16|236.1|1
AMZN|20121102|9:47:31|1|236.0601|236.115|-1
AMZN|20121102|9:47:35|1|236.08|236.11|-1
AMZN|20121102|9:47:36|15|236.17816667|236.11|1
