PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,19990104,CAT,47.37500,-0.000822,0.011409
18542,19990105,CAT,47.25000,0.011879,0.009512
18542,19990106,CAT,48.50000,0.021143,0.014866
18542,19990107,CAT,48.93750,-0.000798,0.003560
18542,19990108,CAT,51.00000,0.004602,0.009410
18542,19990111,CAT,53.00000,-0.004991,0.006378
18542,19990112,CAT,50.62500,-0.018202,-0.006131
18542,19990113,CAT,48.06250,-0.005751,-0.006715
18542,19990114,CAT,46.75000,-0.015797,-0.001111
18542,19990115,CAT,47.56250,0.023007,0.014609
18542,19990119,CAT,45.93750,0.007605,0.007704
18542,19990120,CAT,45.18750,0.002365,0.001375
18542,19990121,CAT,44.87500,-0.017356,-0.005434
18542,19990122,CAT,43.93750,-0.006420,-0.001283
18542,19990125,CAT,44.56250,0.006539,0.001815
18542,19990126,CAT,45.12500,0.013894,0.005311
18542,19990127,CAT,44.68750,-0.007028,-0.005680
18542,19990128,CAT,44.50000,0.015967,0.003250
18542,19990129,CAT,43.31250,0.009347,0.007896
18542,19990201,CAT,43.68750,-0.003403,-0.001705
18542,19990202,CAT,43.31250,-0.008697,-0.005120
18542,19990203,CAT,43.12500,0.009078,0.007191
18542,19990204,CAT,44.12500,-0.018082,-0.001812
18542,19990205,CAT,46.25000,-0.008763,-0.003481
18542,19990208,CAT,47.25000,0.002017,0.000908
18542,19990209,CAT,46.50000,-0.022439,-0.012225
18542,19990210,CAT,45.93750,0.002824,-0.004918
18542,19990211,CAT,45.56250,0.024304,0.009234
18542,19990212,CAT,44.81250,-0.018544,-0.007622
18542,19990216,CAT,45.25000,0.006141,-0.003453
18542,19990217,CAT,45.75000,-0.013808,-0.012271
18542,19990218,CAT,44.81250,0.009465,0.000937
18542,19990219,CAT,45.06250,0.002411,0.003248
18542,19990222,CAT,46.50000,0.023707,0.006617
18542,19990223,CAT,46.93750,0.000678,-0.000790
18542,19990224,CAT,46.00000,-0.012176,-0.004007
18542,19990225,CAT,45.68750,-0.007092,-0.003000
18542,19990226,CAT,45.56250,-0.004886,0.000586
18542,19990301,CAT,49.18750,-0.000381,-0.000627
18542,19990302,CAT,47.43750,-0.006473,-0.002442
18542,19990303,CAT,47.25000,-0.000294,-0.004806
18542,19990304,CAT,47.93750,0.013489,0.003216
18542,19990305,CAT,49.87500,0.020411,0.005860
18542,19990308,CAT,49.62500,0.006597,0.001917
18542,19990309,CAT,48.81250,-0.002176,-0.003047
18542,19990310,CAT,49.00000,0.005636,0.006617
