PERMNO,date,PERMCO,CFACPR
26463,19970102,1191,2.25
26463,19970103,1191,2.25
26463,19970106,1191,2.25
26463,19970107,1191,2.25
26463,19970108,1191,2.25
26463,19970109,1191,2.25
26463,19970110,1191,2.25
26463,19970113,1191,2.25
26463,19970114,1191,2.25
26463,19970115,1191,2.25
26463,19970116,1191,2.25
26463,19970117,1191,2.25
26463,19970120,1191,2.25
26463,19970121,1191,2.25
26463,19970122,1191,2.25
26463,19970123,1191,2.25
26463,19970124,1191,2.25
26463,19970127,1191,2.25
26463,19970128,1191,2.25
26463,19970129,1191,2.25
26463,19970130,1191,2.25
26463,19970131,1191,2.25
26463,19970203,1191,2.25
26463,19970204,1191,2.25
26463,19970205,1191,2.25
26463,19970206,1191,2.25
26463,19970207,1191,2.25
26463,19970210,1191,2.25
26463,19970211,1191,2.25
26463,19970212,1191,2.25
26463,19970213,1191,2.25
26463,19970214,1191,2.25
26463,19970218,1191,2.25
26463,19970219,1191,2.25
26463,19970220,1191,2.25
26463,19970221,1191,2.25
26463,19970224,1191,2.25
26463,19970225,1191,2.25
26463,19970226,1191,2.25
26463,19970227,1191,2.25
26463,19970228,1191,2.25
26463,19970303,1191,2.25
26463,19970304,1191,2.25
26463,19970305,1191,2.25
26463,19970306,1191,2.25
26463,19970307,1191,2.25
26463,19970310,1191,2.25
26463,19970311,1191,2.25
26463,19970312,1191,2.25
26463,19970313,1191,2.25
26463,19970314,1191,2.25
26463,19970317,1191,2.25
26463,19970318,1191,2.25
26463,19970319,1191,2.25
26463,19970320,1191,2.25
26463,19970321,1191,2.25
26463,19970324,1191,2.25
26463,19970325,1191,2.25
26463,19970326,1191,2.25
26463,19970327,1191,2.25
26463,19970331,1191,2.25
26463,19970401,1191,2.25
26463,19970402,1191,2.25
26463,19970403,1191,2.25
26463,19970404,1191,2.25
26463,19970407,1191,2.25
26463,19970408,1191,2.25
26463,19970409,1191,2.25
26463,19970410,1191,2.25
26463,19970411,1191,2.25
26463,19970414,1191,2.25
26463,19970415,1191,2.25
26463,19970416,1191,2.25
26463,19970417,1191,2.25
26463,19970418,1191,2.25
26463,19970421,1191,2.25
26463,19970422,1191,2.25
26463,19970423,1191,2.25
26463,19970424,1191,2.25
26463,19970425,1191,2.25
26463,19970428,1191,2.25
26463,19970429,1191,2.25
26463,19970430,1191,2.25
26463,19970501,1191,2.25
26463,19970502,1191,2.25
26463,19970505,1191,2.25
26463,19970506,1191,2.25
26463,19970507,1191,2.25
26463,19970508,1191,2.25
26463,19970509,1191,2.25
26463,19970512,1191,2.25
26463,19970513,1191,2.25
26463,19970514,1191,2.25
26463,19970515,1191,2.25
26463,19970516,1191,2.25
26463,19970519,1191,2.25
26463,19970520,1191,2.25
26463,19970521,1191,2.25
26463,19970522,1191,2.25
26463,19970523,1191,2.25
26463,19970527,1191,2.25
26463,19970528,1191,2.25
26463,19970529,1191,2.25
26463,19970530,1191,2.25
26463,19970602,1191,2.25
26463,19970603,1191,2.25
26463,19970604,1191,2.25
26463,19970605,1191,2.25
26463,19970606,1191,2.25
26463,19970609,1191,2.25
26463,19970610,1191,2.25
26463,19970611,1191,2.25
26463,19970612,1191,2.25
26463,19970613,1191,2.25
26463,19970616,1191,2.25
26463,19970617,1191,2.25
26463,19970618,1191,2.25
26463,19970619,1191,2.25
26463,19970620,1191,2.25
26463,19970623,1191,2.25
26463,19970624,1191,2.25
26463,19970625,1191,2.25
26463,19970626,1191,2.25
26463,19970627,1191,2.25
26463,19970630,1191,2.25
26463,19970701,1191,2.25
26463,19970702,1191,2.25
26463,19970703,1191,2.25
26463,19970707,1191,2.25
26463,19970708,1191,2.25
26463,19970709,1191,2.25
26463,19970710,1191,2.25
26463,19970711,1191,2.25
26463,19970714,1191,2.25
26463,19970715,1191,2.25
26463,19970716,1191,2.25
26463,19970717,1191,2.25
26463,19970718,1191,2.25
26463,19970721,1191,2.25
26463,19970722,1191,2.25
26463,19970723,1191,2.25
26463,19970724,1191,2.25
26463,19970725,1191,2.25
26463,19970728,1191,2.25
26463,19970729,1191,2.25
26463,19970730,1191,2.25
26463,19970731,1191,2.25
26463,19970801,1191,2.25
26463,19970804,1191,2.25
26463,19970805,1191,2.25
26463,19970806,1191,2.25
26463,19970807,1191,2.25
26463,19970808,1191,2.25
26463,19970811,1191,2.25
26463,19970812,1191,2.25
26463,19970813,1191,2.25
26463,19970814,1191,2.25
26463,19970815,1191,2.25
26463,19970818,1191,2.25
26463,19970819,1191,2.25
26463,19970820,1191,2.25
26463,19970821,1191,2.25
26463,19970822,1191,2.25
26463,19970825,1191,2.25
26463,19970826,1191,2.25
26463,19970827,1191,2.25
26463,19970828,1191,2.25
26463,19970829,1191,2.25
26463,19970902,1191,2.25
26463,19970903,1191,2.25
26463,19970904,1191,2.25
26463,19970905,1191,2.25
26463,19970908,1191,2.25
26463,19970909,1191,2.25
26463,19970910,1191,2.25
26463,19970911,1191,2.25
26463,19970912,1191,2.25
26463,19970915,1191,2.25
26463,19970916,1191,2.25
26463,19970917,1191,2.25
26463,19970918,1191,2.25
26463,19970919,1191,2.25
26463,19970922,1191,2.25
26463,19970923,1191,2.25
26463,19970924,1191,2.25
26463,19970925,1191,2.25
26463,19970926,1191,2.25
26463,19970929,1191,2.25
26463,19970930,1191,2.25
26463,19971001,1191,2.25
26463,19971002,1191,2.25
26463,19971003,1191,2.25
26463,19971006,1191,2.25
26463,19971007,1191,2.25
26463,19971008,1191,2.25
26463,19971009,1191,2.25
26463,19971010,1191,2.25
26463,19971013,1191,2.25
26463,19971014,1191,2.25
26463,19971015,1191,2.25
26463,19971016,1191,2.25
26463,19971017,1191,2.25
26463,19971020,1191,2.25
26463,19971021,1191,2.25
26463,19971022,1191,2.25
26463,19971023,1191,2.25
26463,19971024,1191,2.25
26463,19971027,1191,2.25
26463,19971028,1191,2.25
26463,19971029,1191,2.25
26463,19971030,1191,2.25
26463,19971031,1191,2.25
26463,19971103,1191,2.25
26463,19971104,1191,2.25
26463,19971105,1191,2.25
26463,19971106,1191,2.25
26463,19971107,1191,2.25
26463,19971110,1191,2.25
26463,19971111,1191,2.25
26463,19971112,1191,2.25
26463,19971113,1191,2.25
26463,19971114,1191,2.25
26463,19971117,1191,2.25
26463,19971118,1191,2.25
26463,19971119,1191,2.25
26463,19971120,1191,2.25
26463,19971121,1191,2.25
26463,19971124,1191,2.25
26463,19971125,1191,2.25
26463,19971126,1191,2.25
26463,19971128,1191,2.25
26463,19971201,1191,2.25
26463,19971202,1191,2.25
26463,19971203,1191,2.25
26463,19971204,1191,2.25
26463,19971205,1191,2.25
26463,19971208,1191,2.25
26463,19971209,1191,2.25
26463,19971210,1191,2.25
26463,19971211,1191,2.25
26463,19971212,1191,2.25
26463,19971215,1191,2.25
26463,19971216,1191,2.25
26463,19971217,1191,2.25
26463,19971218,1191,2.25
26463,19971219,1191,2.25
26463,19971222,1191,2.25
26463,19971223,1191,2.25
26463,19971224,1191,2.25
26463,19971226,1191,2.25
26463,19971229,1191,2.25
26463,19971230,1191,2.25
26463,19971231,1191,2.25
26463,19980102,1191,2.25
26463,19980105,1191,2.25
26463,19980106,1191,2.25
26463,19980107,1191,2.25
26463,19980108,1191,2.25
26463,19980109,1191,2.25
26463,19980112,1191,2.25
26463,19980113,1191,2.25
26463,19980114,1191,2.25
26463,19980115,1191,2.25
26463,19980116,1191,2.25
26463,19980120,1191,2.25
26463,19980121,1191,2.25
26463,19980122,1191,2.25
26463,19980123,1191,2.25
26463,19980126,1191,2.25
26463,19980127,1191,2.25
26463,19980128,1191,2.25
26463,19980129,1191,2.25
26463,19980130,1191,2.25
26463,19980202,1191,2.25
26463,19980203,1191,2.25
26463,19980204,1191,2.25
26463,19980205,1191,2.25
26463,19980206,1191,2.25
26463,19980209,1191,2.25
26463,19980210,1191,2.25
26463,19980211,1191,2.25
26463,19980212,1191,2.25
26463,19980213,1191,2.25
26463,19980217,1191,2.25
26463,19980218,1191,2.25
26463,19980219,1191,2.25
26463,19980220,1191,2.25
26463,19980223,1191,2.25
26463,19980224,1191,2.25
26463,19980225,1191,2.25
26463,19980226,1191,2.25
26463,19980227,1191,2.25
26463,19980302,1191,2.25
26463,19980303,1191,2.25
26463,19980304,1191,2.25
26463,19980305,1191,2.25
26463,19980306,1191,2.25
26463,19980309,1191,2.25
26463,19980310,1191,2.25
26463,19980311,1191,2.25
26463,19980312,1191,2.25
26463,19980313,1191,2.25
26463,19980316,1191,2.25
