Date,Futures,Spot,Rate
1996-12-31,0.728,0.727,5.50000
1996-12-30,0.706,0.703,5.50391
1996-12-27,0.706,0.703,5.68750
1996-12-26,0.701,0.6990000000000001,.
1996-12-24,0.7140000000000001,0.713,5.66406
1996-12-23,0.711,0.71,5.66797
1996-12-20,0.73,0.728,5.66016
1996-12-19,0.738,0.7390000000000001,5.65625
1996-12-18,0.742,0.741,5.64453
1996-12-17,0.735,0.7340000000000001,5.62500
1996-12-16,0.748,0.747,5.61719
1996-12-13,0.7170000000000001,0.7170000000000001,5.61719
1996-12-12,0.687,0.687,5.60547
1996-12-11,0.6679999999999999,0.6679999999999999,5.59766
1996-12-10,0.696,0.696,5.59766
1996-12-09,0.721,0.723,5.59375
1996-12-06,0.747,0.7490000000000001,5.60547
1996-12-05,0.7509999999999999,0.752,5.56250
1996-12-04,0.736,0.737,5.56250
1996-12-03,0.742,0.743,5.56250
1996-12-02,0.736,0.7390000000000001,5.56250
1996-11-27,0.72,0.718,5.37500
1996-11-26,0.7120000000000001,0.711,5.37500
1996-11-25,0.722,0.7190000000000001,5.37500
1996-11-22,0.728,0.7240000000000001,5.37500
1996-11-21,0.7390000000000001,0.735,5.37500
1996-11-20,0.721,0.7190000000000001,5.37500
1996-11-19,0.737,0.736,5.37500
1996-11-18,0.7190000000000001,0.718,5.37500
1996-11-15,0.726,0.725,5.37500
1996-11-14,0.7340000000000001,0.733,5.37500
1996-11-13,0.7120000000000001,0.7090000000000001,5.37500
1996-11-12,0.6829999999999999,0.6779999999999999,5.37500
1996-11-11,0.684,0.682,5.37500
1996-11-08,0.6890000000000001,0.687,5.37500
1996-11-07,0.669,0.665,5.37500
1996-11-06,0.665,0.662,5.37500
1996-11-05,0.654,0.652,5.37500
1996-11-04,0.66,0.657,5.37500
1996-11-01,0.6659999999999999,0.662,5.37500
1996-10-31,0.6629999999999999,0.662,5.37500
1996-10-30,0.685,0.682,5.37500
1996-10-29,0.698,0.696,5.37500
1996-10-28,0.715,0.7120000000000001,5.37500
1996-10-25,0.7170000000000001,0.715,5.37500
1996-10-24,0.705,0.7040000000000001,5.37500
1996-10-23,0.71,0.708,5.37500
1996-10-22,0.735,0.733,5.37500
1996-10-21,0.736,0.735,5.37500
1996-10-18,0.741,0.7390000000000001,5.37500
1996-10-17,0.723,0.722,5.37891
1996-10-16,0.716,0.7140000000000001,5.37500
1996-10-15,0.731,0.7290000000000001,5.37500
1996-10-14,0.741,0.7390000000000001,5.37500
1996-10-11,0.7140000000000001,0.713,5.38672
1996-10-10,0.7090000000000001,0.708,5.38281
1996-10-09,0.74,0.738,5.38281
1996-10-08,0.762,0.762,5.37500
1996-10-07,0.765,0.767,5.38672
1996-10-04,0.7440000000000001,0.748,5.41406
1996-10-03,0.747,0.752,5.42188
1996-10-02,0.72,0.726,5.43359
1996-10-01,0.708,0.7140000000000001,5.44141
1996-09-30,0.715,0.7140000000000001,5.43359
1996-09-27,0.715,0.715,5.43750
1996-09-26,0.7090000000000001,0.708,5.43750
1996-09-25,0.718,0.715,5.44531
1996-09-24,0.6970000000000001,0.696,5.53125
1996-09-23,0.675,0.674,5.50000
1996-09-20,0.674,0.6729999999999999,5.50000
1996-09-19,0.6679999999999999,0.6659999999999999,5.48828
1996-09-18,0.679,0.6920000000000001,5.48047
1996-09-17,0.6559999999999999,0.6559999999999999,5.44531
1996-09-16,0.653,0.653,5.43750
1996-09-13,0.679,0.679,5.49219
1996-09-12,0.6920000000000001,0.6890000000000001,5.50391
1996-09-11,0.682,0.6809999999999999,5.50391
1996-09-10,0.667,0.664,5.48438
1996-09-09,0.66,0.657,5.48047
1996-09-06,0.664,0.6609999999999999,5.49219
1996-09-05,0.65,0.648,5.47266
1996-09-04,0.642,0.639,5.47266
1996-09-03,0.6509999999999999,0.649,5.48047
1996-08-30,0.628,0.626,5.43750
1996-08-29,0.637,0.634,5.42188
1996-08-28,0.62,0.609,5.40625
