PERMNO,date,TICKER,COMNAM,PRC
12490,19470131,,INTERNATIONAL BUSINESS MACHS COR,221.00000
12490,19470228,,INTERNATIONAL BUSINESS MACHS COR,211.00000
12490,19470331,,INTERNATIONAL BUSINESS MACHS COR,208.50000
12490,19470430,,INTERNATIONAL BUSINESS MACHS COR,193.50000
12490,19470529,,INTERNATIONAL BUSINESS MACHS COR,200.00000
12490,19470630,,INTERNATIONAL BUSINESS MACHS COR,-206.00000
12490,19470731,,INTERNATIONAL BUSINESS MACHS COR,215.00000
12490,19470829,,INTERNATIONAL BUSINESS MACHS COR,-213.50000
12490,19470930,,INTERNATIONAL BUSINESS MACHS COR,214.00000
12490,19471031,,INTERNATIONAL BUSINESS MACHS COR,216.50000
12490,19471129,,INTERNATIONAL BUSINESS MACHS COR,-226.93750
12490,19471231,,INTERNATIONAL BUSINESS MACHS COR,240.00000
12490,19480131,,INTERNATIONAL BUSINESS MACHS COR,-219.00000
12490,19480228,,INTERNATIONAL BUSINESS MACHS COR,-134.00000
12490,19480331,,INTERNATIONAL BUSINESS MACHS COR,140.50000
12490,19480430,,INTERNATIONAL BUSINESS MACHS COR,141.50000
12490,19480528,,INTERNATIONAL BUSINESS MACHS COR,146.00000
12490,19480630,,INTERNATIONAL BUSINESS MACHS COR,146.00000
12490,19480730,,INTERNATIONAL BUSINESS MACHS COR,139.00000
12490,19480831,,INTERNATIONAL BUSINESS MACHS COR,149.75000
12490,19480930,,INTERNATIONAL BUSINESS MACHS COR,142.50000
12490,19481030,,INTERNATIONAL BUSINESS MACHS COR,154.00000
12490,19481130,,INTERNATIONAL BUSINESS MACHS COR,148.62500
12490,19481231,,INTERNATIONAL BUSINESS MACHS COR,156.00000
12490,19490131,,INTERNATIONAL BUSINESS MACHS COR,156.50000
12490,19490228,,INTERNATIONAL BUSINESS MACHS COR,148.00000
12490,19490331,,INTERNATIONAL BUSINESS MACHS COR,155.25000
12490,19490430,,INTERNATIONAL BUSINESS MACHS COR,-160.00000
12490,19490531,,INTERNATIONAL BUSINESS MACHS COR,159.00000
12490,19490630,,INTERNATIONAL BUSINESS MACHS COR,151.50000
12490,19490729,,INTERNATIONAL BUSINESS MACHS COR,167.00000
12490,19490831,,INTERNATIONAL BUSINESS MACHS COR,166.00000
12490,19490930,,INTERNATIONAL BUSINESS MACHS COR,176.00000
12490,19491031,,INTERNATIONAL BUSINESS MACHS COR,196.75000
12490,19491130,,INTERNATIONAL BUSINESS MACHS COR,193.00000
12490,19491231,,INTERNATIONAL BUSINESS MACHS COR,227.00000
12490,19500131,,INTERNATIONAL BUSINESS MACHS COR,228.00000
12490,19500228,,INTERNATIONAL BUSINESS MACHS COR,225.00000
12490,19500331,,INTERNATIONAL BUSINESS MACHS COR,233.50000
12490,19500429,,INTERNATIONAL BUSINESS MACHS COR,229.00000
12490,19500531,,INTERNATIONAL BUSINESS MACHS COR,233.00000
12490,19500630,,INTERNATIONAL BUSINESS MACHS COR,210.00000
12490,19500731,,INTERNATIONAL BUSINESS MACHS COR,190.00000
12490,19500831,,INTERNATIONAL BUSINESS MACHS COR,207.00000
12490,19500929,,INTERNATIONAL BUSINESS MACHS COR,213.00000
12490,19501031,,INTERNATIONAL BUSINESS MACHS COR,211.00000
12490,19501130,,INTERNATIONAL BUSINESS MACHS COR,-212.25000
12490,19501230,,INTERNATIONAL BUSINESS MACHS COR,216.00000
12490,19510131,,INTERNATIONAL BUSINESS MACHS COR,217.50000
12490,19510228,,INTERNATIONAL BUSINESS MACHS COR,207.50000
12490,19510331,,INTERNATIONAL BUSINESS MACHS COR,-203.75000
12490,19510430,,INTERNATIONAL BUSINESS MACHS COR,205.00000
12490,19510531,,INTERNATIONAL BUSINESS MACHS COR,203.50000
12490,19510629,,INTERNATIONAL BUSINESS MACHS COR,200.00000
12490,19510731,,INTERNATIONAL BUSINESS MACHS COR,214.00000
12490,19510831,,INTERNATIONAL BUSINESS MACHS COR,221.50000
12490,19510928,,INTERNATIONAL BUSINESS MACHS COR,217.00000
12490,19511031,,INTERNATIONAL BUSINESS MACHS COR,203.00000
12490,19511130,,INTERNATIONAL BUSINESS MACHS COR,204.00000
12490,19511231,,INTERNATIONAL BUSINESS MACHS COR,218.50000
12490,19520131,,INTERNATIONAL BUSINESS MACHS COR,201.25000
12490,19520229,,INTERNATIONAL BUSINESS MACHS COR,190.50000
12490,19520331,,INTERNATIONAL BUSINESS MACHS COR,192.00000
12490,19520430,,INTERNATIONAL BUSINESS MACHS COR,189.50000
12490,19520529,,INTERNATIONAL BUSINESS MACHS COR,200.00000
12490,19520630,,INTERNATIONAL BUSINESS MACHS COR,219.00000
12490,19520731,,INTERNATIONAL BUSINESS MACHS COR,218.00000
12490,19520829,,INTERNATIONAL BUSINESS MACHS COR,215.25000
12490,19520930,,INTERNATIONAL BUSINESS MACHS COR,211.00000
12490,19521031,,INTERNATIONAL BUSINESS MACHS COR,215.50000
12490,19521128,,INTERNATIONAL BUSINESS MACHS COR,230.00000
12490,19521231,,INTERNATIONAL BUSINESS MACHS COR,235.25000
12490,19530130,,INTERNATIONAL BUSINESS MACHS COR,232.00000
12490,19530227,,INTERNATIONAL BUSINESS MACHS COR,237.50000
12490,19530331,,INTERNATIONAL BUSINESS MACHS COR,241.00000
12490,19530430,,INTERNATIONAL BUSINESS MACHS COR,229.00000
12490,19530529,,INTERNATIONAL BUSINESS MACHS COR,239.50000
12490,19530630,,INTERNATIONAL BUSINESS MACHS COR,-232.25000
12490,19530731,,INTERNATIONAL BUSINESS MACHS COR,240.00000
12490,19530831,,INTERNATIONAL BUSINESS MACHS COR,238.00000
12490,19530930,,INTERNATIONAL BUSINESS MACHS COR,231.00000
12490,19531030,,INTERNATIONAL BUSINESS MACHS COR,233.00000
12490,19531130,,INTERNATIONAL BUSINESS MACHS COR,239.50000
12490,19531231,,INTERNATIONAL BUSINESS MACHS COR,247.00000
12490,19540129,,INTERNATIONAL BUSINESS MACHS COR,260.50000
12490,19540226,,INTERNATIONAL BUSINESS MACHS COR,271.00000
12490,19540331,,INTERNATIONAL BUSINESS MACHS COR,334.00000
12490,19540430,,INTERNATIONAL BUSINESS MACHS COR,336.00000
12490,19540528,,INTERNATIONAL BUSINESS MACHS COR,286.00000
12490,19540630,,INTERNATIONAL BUSINESS MACHS COR,300.00000
12490,19540730,,INTERNATIONAL BUSINESS MACHS COR,298.50000
12490,19540831,,INTERNATIONAL BUSINESS MACHS COR,283.00000
12490,19540930,,INTERNATIONAL BUSINESS MACHS COR,293.00000
12490,19541029,,INTERNATIONAL BUSINESS MACHS COR,311.50000
12490,19541130,,INTERNATIONAL BUSINESS MACHS COR,368.50000
12490,19541231,,INTERNATIONAL BUSINESS MACHS COR,362.00000
12490,19550131,,INTERNATIONAL BUSINESS MACHS COR,371.50000
12490,19550228,,INTERNATIONAL BUSINESS MACHS COR,372.00000
12490,19550331,,INTERNATIONAL BUSINESS MACHS COR,397.00000
12490,19550429,,INTERNATIONAL BUSINESS MACHS COR,428.00000
12490,19550531,,INTERNATIONAL BUSINESS MACHS COR,418.00000
12490,19550630,,INTERNATIONAL BUSINESS MACHS COR,415.00000
12490,19550729,,INTERNATIONAL BUSINESS MACHS COR,-421.50000
12490,19550831,,INTERNATIONAL BUSINESS MACHS COR,404.00000
12490,19550930,,INTERNATIONAL BUSINESS MACHS COR,397.00000
12490,19551031,,INTERNATIONAL BUSINESS MACHS COR,380.00000
12490,19551130,,INTERNATIONAL BUSINESS MACHS COR,397.00000
12490,19551230,,INTERNATIONAL BUSINESS MACHS COR,403.00000
12490,19560131,,INTERNATIONAL BUSINESS MACHS COR,390.00000
12490,19560229,,INTERNATIONAL BUSINESS MACHS COR,409.00000
12490,19560329,,INTERNATIONAL BUSINESS MACHS COR,495.00000
12490,19560430,,INTERNATIONAL BUSINESS MACHS COR,530.00000
12490,19560531,,INTERNATIONAL BUSINESS MACHS COR,429.50000
12490,19560629,,INTERNATIONAL BUSINESS MACHS COR,489.50000
12490,19560731,,INTERNATIONAL BUSINESS MACHS COR,515.00000
12490,19560831,,INTERNATIONAL BUSINESS MACHS COR,484.50000
12490,19560928,,INTERNATIONAL BUSINESS MACHS COR,453.00000
12490,19561031,,INTERNATIONAL BUSINESS MACHS COR,467.00000
12490,19561130,,INTERNATIONAL BUSINESS MACHS COR,488.00000
12490,19561231,,INTERNATIONAL BUSINESS MACHS COR,540.00000
12490,19570131,,INTERNATIONAL BUSINESS MACHS COR,518.00000
12490,19570228,,INTERNATIONAL BUSINESS MACHS COR,508.50000
12490,19570329,,INTERNATIONAL BUSINESS MACHS COR,519.50000
12490,19570430,,INTERNATIONAL BUSINESS MACHS COR,572.00000
12490,19570531,,INTERNATIONAL BUSINESS MACHS COR,294.50000
12490,19570628,,INTERNATIONAL BUSINESS MACHS COR,331.00000
12490,19570731,,INTERNATIONAL BUSINESS MACHS COR,336.50000
12490,19570830,,INTERNATIONAL BUSINESS MACHS COR,316.00000
12490,19570930,,INTERNATIONAL BUSINESS MACHS COR,300.50000
12490,19571031,,INTERNATIONAL BUSINESS MACHS COR,298.50000
12490,19571129,,INTERNATIONAL BUSINESS MACHS COR,310.00000
12490,19571231,,INTERNATIONAL BUSINESS MACHS COR,305.00000
12490,19580131,,INTERNATIONAL BUSINESS MACHS COR,321.50000
