,Date,HO-Spot,HO-Futures
8445,1986-06-02,0.402,0.37799999999999995
8444,1986-06-03,0.39299999999999996,0.38
8443,1986-06-04,0.37799999999999995,0.358
8442,1986-06-05,0.39,0.374
8441,1986-06-06,0.385,0.37200000000000005
8440,1986-06-09,0.373,0.366
8439,1986-06-10,0.365,0.36
8438,1986-06-11,0.389,0.384
8437,1986-06-12,0.39399999999999996,0.39399999999999996
8436,1986-06-13,0.39799999999999996,0.397
8435,1986-06-16,0.379,0.37799999999999995
8434,1986-06-17,0.374,0.376
8433,1986-06-18,0.376,0.375
8432,1986-06-19,0.382,0.38299999999999995
8431,1986-06-20,0.365,0.366
8430,1986-06-23,0.369,0.366
8429,1986-06-24,0.369,0.36700000000000005
8428,1986-06-25,0.375,0.375
8427,1986-06-26,0.376,0.377
8426,1986-06-27,0.379,0.38299999999999995
8425,1986-06-30,0.374,0.373
8424,1986-07-01,0.369,0.361
8423,1986-07-02,0.359,0.353
8422,1986-07-07,0.335,0.32899999999999996
8421,1986-07-08,0.336,0.332
8420,1986-07-09,0.325,0.318
8419,1986-07-10,0.33,0.327
8418,1986-07-11,0.324,0.318
8417,1986-07-14,0.315,0.311
8416,1986-07-15,0.32799999999999996,0.32899999999999996
8415,1986-07-16,0.348,0.35100000000000003
8414,1986-07-17,0.33899999999999997,0.34
8413,1986-07-18,0.345,0.35
8412,1986-07-21,0.345,0.35600000000000004
8411,1986-07-22,0.32299999999999995,0.336
8410,1986-07-23,0.32299999999999995,0.327
8409,1986-07-24,0.327,0.325
8408,1986-07-25,0.317,0.32
8407,1986-07-28,0.318,0.321
8406,1986-07-29,0.32799999999999996,0.336
8405,1986-07-30,0.34,0.344
8404,1986-07-31,0.321,0.32
8403,1986-08-01,0.324,0.337
8402,1986-08-04,0.374,0.38299999999999995
8401,1986-08-05,0.408,0.428
8400,1986-08-06,0.41100000000000003,0.42100000000000004
8399,1986-08-07,0.41100000000000003,0.425
8398,1986-08-08,0.4,0.409
8397,1986-08-11,0.4,0.409
8396,1986-08-12,0.414,0.423
8395,1986-08-13,0.41100000000000003,0.423
8394,1986-08-14,0.415,0.426
8393,1986-08-15,0.42,0.434
8392,1986-08-18,0.42100000000000004,0.433
8391,1986-08-19,0.406,0.419
8390,1986-08-20,0.419,0.429
8389,1986-08-21,0.42,0.43200000000000005
8388,1986-08-22,0.42,0.431
8387,1986-08-25,0.418,0.429
8386,1986-08-26,0.41100000000000003,0.435
8385,1986-08-27,0.413,0.426
8384,1986-08-28,0.419,0.42700000000000005
8383,1986-08-29,0.426,0.433
8382,1986-09-02,0.441,0.45799999999999996
8381,1986-09-03,0.431,0.44799999999999995
8380,1986-09-04,0.43799999999999994,0.449
8379,1986-09-05,0.441,0.455
8378,1986-09-08,0.423,0.433
8377,1986-09-09,0.39899999999999997,0.418
8376,1986-09-10,0.39,0.39799999999999996
8375,1986-09-11,0.396,0.40299999999999997
8374,1986-09-12,0.395,0.40399999999999997
8373,1986-09-15,0.38299999999999995,0.39299999999999996
8372,1986-09-16,0.375,0.392
8371,1986-09-17,0.385,0.396
8370,1986-09-18,0.391,0.402
8369,1986-09-19,0.39399999999999996,0.40399999999999997
8368,1986-09-22,0.38799999999999996,0.39899999999999997
8367,1986-09-23,0.39399999999999996,0.40299999999999997
8366,1986-09-24,0.39399999999999996,0.40399999999999997
8365,1986-09-25,0.387,0.397
8364,1986-09-26,0.392,0.402
8363,1986-09-29,0.40299999999999997,0.41200000000000003
8362,1986-09-30,0.40299999999999997,0.413
8361,1986-10-01,0.414,0.431
8360,1986-10-02,0.42100000000000004,0.43799999999999994
8359,1986-10-03,0.402,0.419
8358,1986-10-06,0.4,0.41700000000000004
8357,1986-10-07,0.409,0.42700000000000005
8356,1986-10-08,0.405,0.424
8355,1986-10-09,0.402,0.419
