Date,HO-Spot,HO-Futures
2015-01-02,1.709,1.796
2015-01-05,1.6980000000000002,1.749
2015-01-06,1.6669999999999998,1.726
2015-01-07,1.659,1.7
2015-01-08,1.671,1.7109999999999999
2015-01-09,1.653,1.703
2015-01-12,1.615,1.6540000000000001
2015-01-13,1.584,1.633
2015-01-14,1.608,1.655
2015-01-15,1.569,1.6230000000000002
2015-01-16,1.61,1.666
2015-01-20,1.5830000000000002,1.6269999999999998
2015-01-21,1.584,1.646
2015-01-22,1.594,1.6380000000000001
2015-01-23,1.5830000000000002,1.6469999999999998
2015-01-26,1.585,1.64
2015-01-27,1.584,1.663
2015-01-28,1.57,1.632
2015-01-29,1.554,1.618
2015-01-30,1.646,1.686
2015-02-02,1.709,1.758
2015-02-03,1.774,1.847
2015-02-04,1.7180000000000002,1.767
2015-02-05,1.7469999999999999,1.806
2015-02-06,1.784,1.839
2015-02-09,1.8090000000000002,1.8730000000000002
2015-02-10,1.78,1.8330000000000002
2015-02-11,1.768,1.814
2015-02-12,1.857,1.9140000000000001
2015-02-13,1.91,1.9709999999999999
2015-02-17,1.9080000000000001,1.9769999999999999
2015-02-18,1.905,1.959
2015-02-19,1.944,1.994
2015-02-20,2.061,2.112
2015-02-23,2.126,2.218
2015-02-24,1.931,2.029
2015-02-25,1.929,2.104
2015-02-26,1.999,2.136
2015-02-27,1.923,2.299
2015-03-02,1.806,1.8869999999999998
2015-03-03,1.859,1.94
2015-03-04,1.781,1.901
2015-03-05,1.754,1.8769999999999998
2015-03-06,1.7380000000000002,1.869
2015-03-09,1.679,1.84
2015-03-10,1.662,1.814
2015-03-11,1.66,1.82
2015-03-12,1.611,1.7790000000000001
2015-03-13,1.541,1.713
2015-03-16,1.536,1.699
2015-03-17,1.516,1.694
2015-03-18,1.607,1.7730000000000001
2015-03-19,1.5430000000000001,1.722
2015-03-20,1.546,1.734
2015-03-23,1.55,1.7309999999999999
2015-03-24,1.516,1.7069999999999999
2015-03-25,1.5490000000000002,1.7280000000000002
2015-03-26,1.6680000000000001,1.788
2015-03-27,1.598,1.7280000000000002
2015-03-30,1.601,1.7309999999999999
2015-03-31,1.5730000000000002,1.7180000000000002
2015-04-01,1.6030000000000002,1.7469999999999999
2015-04-02,1.5490000000000002,1.683
2015-04-06,1.6269999999999998,1.764
2015-04-07,1.6540000000000001,1.784
2015-04-08,1.588,1.6980000000000002
2015-04-09,1.618,1.7269999999999999
2015-04-10,1.669,1.766
2015-04-13,1.675,1.7830000000000001
2015-04-14,1.694,1.8019999999999998
2015-04-15,1.767,1.889
2015-04-16,1.797,1.9080000000000001
2015-04-17,1.78,1.882
2015-04-20,1.768,1.8769999999999998
2015-04-21,1.744,1.8530000000000002
2015-04-22,1.764,1.871
2015-04-23,1.804,1.9240000000000002
2015-04-24,1.8090000000000002,1.9280000000000002
2015-04-27,1.7990000000000002,1.921
2015-04-28,1.814,1.9169999999999998
2015-04-29,1.8090000000000002,1.9480000000000002
2015-04-30,1.8419999999999999,1.976
2015-05-01,1.8530000000000002,1.982
2015-05-04,1.847,1.979
2015-05-05,1.8869999999999998,2.015
2015-05-06,1.8659999999999999,2.016
2015-05-07,1.8230000000000002,1.962
2015-05-08,1.82,1.954
2015-05-11,1.81,1.945
2015-05-12,1.858,1.999
2015-05-13,1.864,2.005
2015-05-14,1.876,2.006
2015-05-15,1.879,2.005
2015-05-18,1.864,1.9869999999999999
2015-05-19,1.807,1.929
2015-05-20,1.81,1.946
2015-05-21,1.855,1.986
2015-05-22,1.831,1.953
2015-05-26,1.7790000000000001,1.9
2015-05-27,1.7369999999999999,1.857
2015-05-28,1.746,1.87
2015-05-29,1.8219999999999998,1.955
2015-06-01,1.8019999999999998,1.926
2015-06-02,1.825,1.946
2015-06-03,1.764,1.892
2015-06-04,1.716,1.844
2015-06-05,1.736,1.87
2015-06-08,1.732,1.855
2015-06-09,1.787,1.9180000000000001
2015-06-10,1.8159999999999998,1.946
2015-06-11,1.7919999999999998,1.921
2015-06-12,1.7530000000000001,1.889
2015-06-15,1.734,1.87
2015-06-16,1.7590000000000001,1.885
2015-06-17,1.78,1.91
2015-06-18,1.79,1.915
2015-06-19,1.7380000000000002,1.867
2015-06-22,1.744,1.869
2015-06-23,1.791,1.911
2015-06-24,1.755,1.876
2015-06-25,1.7369999999999999,1.8619999999999999
2015-06-26,1.736,1.8630000000000002
2015-06-29,1.7180000000000002,1.837
2015-06-30,1.757,1.8869999999999998
2015-07-01,1.715,1.839
2015-07-02,1.705,1.84
2015-07-06,1.591,1.709
2015-07-07,1.594,1.7109999999999999
2015-07-08,1.5859999999999999,1.715
2015-07-09,1.617,1.736
2015-07-10,1.62,1.74
2015-07-13,1.591,1.719
2015-07-14,1.595,1.725
2015-07-15,1.53,1.669
2015-07-16,1.525,1.666
2015-07-17,1.5319999999999998,1.6640000000000001
2015-07-20,1.5190000000000001,1.6580000000000001
2015-07-21,1.546,1.6780000000000002
2015-07-22,1.535,1.672
2015-07-23,1.5230000000000001,1.655
2015-07-24,1.501,1.63
2015-07-27,1.454,1.5959999999999999
2015-07-28,1.465,1.604
2015-07-29,1.4609999999999999,1.598
2015-07-30,1.46,1.598
2015-07-31,1.446,1.584
2015-08-03,1.395,1.531
2015-08-04,1.416,1.548
2015-08-05,1.402,1.5390000000000001
2015-08-06,1.413,1.55
2015-08-07,1.3969999999999998,1.544
2015-08-10,1.436,1.5919999999999999
2015-08-11,1.4180000000000001,1.5630000000000002
2015-08-12,1.4409999999999998,1.587
2015-08-13,1.4240000000000002,1.569
2015-08-14,1.405,1.558
2015-08-17,1.416,1.555
2015-08-18,1.412,1.5590000000000002
2015-08-19,1.3780000000000001,1.518
2015-08-20,1.355,1.496
2015-08-21,1.329,1.462
2015-08-24,1.266,1.393
2015-08-25,1.248,1.395
2015-08-26,1.252,1.381
2015-08-27,1.3630000000000002,1.496
2015-08-28,1.4469999999999998,1.5759999999999998
2015-08-31,1.525,1.6740000000000002
2015-09-01,1.435,1.578
2015-09-02,1.476,1.609
2015-09-03,1.485,1.619
2015-09-04,1.46,1.5959999999999999
2015-09-08,1.459,1.594
2015-09-09,1.411,1.5390000000000001
2015-09-10,1.439,1.575
2015-09-11,1.413,1.55
2015-09-14,1.37,1.504
2015-09-15,1.375,1.5
2015-09-16,1.422,1.541
2015-09-17,1.412,1.53
2015-09-18,1.39,1.4909999999999999
2015-09-21,1.3980000000000001,1.514
2015-09-22,1.422,1.5319999999999998
2015-09-23,1.401,1.506
2015-09-24,1.43,1.524
2015-09-25,1.4280000000000002,1.5230000000000001
2015-09-28,1.389,1.4769999999999999
2015-09-29,1.413,1.4980000000000002
2015-09-30,1.4269999999999998,1.5130000000000001
2015-10-01,1.425,1.52
2015-10-02,1.425,1.52
2015-10-05,1.452,1.548
2015-10-06,1.5130000000000001,1.6119999999999999
2015-10-07,1.4809999999999999,1.58
2015-10-08,1.501,1.6019999999999999
2015-10-09,1.48,1.591
2015-10-13,1.38,1.4709999999999999
2015-10-14,1.374,1.483
2015-10-15,1.3880000000000001,1.486
2015-10-16,1.3880000000000001,1.4969999999999999
2015-10-19,1.345,1.449
2015-10-20,1.348,1.449
2015-10-21,1.351,1.45
2015-10-22,1.385,1.465
2015-10-23,1.364,1.454
2015-10-26,1.3430000000000002,1.426
2015-10-27,1.335,1.4240000000000002
2015-10-28,1.403,1.484
2015-10-29,1.391,1.475
2015-10-30,1.413,1.499
2015-11-02,1.405,1.507
2015-11-03,1.462,1.5659999999999998
2015-11-04,1.405,1.504
2015-11-05,1.385,1.4869999999999999
2015-11-06,1.494,1.49
2015-11-09,1.381,1.4769999999999999
2015-11-10,1.3769999999999998,1.4869999999999999
2015-11-12,1.308,1.4069999999999998
2015-11-13,1.284,1.381
2015-11-16,1.288,1.385
2015-11-17,1.27,1.368
2015-11-18,1.28,1.38
2015-11-19,1.268,1.3719999999999999
2015-11-20,1.261,1.371
2015-11-23,1.239,1.374
2015-11-24,1.254,1.4
2015-11-25,1.253,1.403
2015-11-27,1.208,1.3519999999999999
2015-11-30,1.222,1.337
2015-12-01,1.229,1.369
2015-12-02,1.169,1.305
2015-12-03,1.206,1.359
2015-12-04,1.171,1.3419999999999999
2015-12-07,1.11,1.28
2015-12-08,1.089,1.2590000000000001
2015-12-09,1.101,1.239
2015-12-10,1.071,1.225
2015-12-11,1.005,1.146
2015-12-14,0.961,1.128
2015-12-15,0.983,1.147
2015-12-16,0.9470000000000001,1.112
2015-12-17,0.9540000000000001,1.105
2015-12-18,0.955,1.107
2015-12-21,0.956,1.1
2015-12-22,0.951,1.088
2015-12-23,0.9890000000000001,1.119
2015-12-24,0.986,1.101
2015-12-28,0.988,1.09
